DDCTransactionIdCF77B96446CEE0D662D1858764A70727_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.02.15-21.17.01, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.501674ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId50FB39264AB5B6970B93F0861048A044_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__FC5A29F424836F67547AB1BC14246603821353B4, StartTime=2016.02.15-21.17.01, HierarchicalDDC, DataSize=1186 bytes, Retrieved=true, Duration=0.032123ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionIdDFF70A85439F49D0153539946321435F_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__CA89507B8D820F4BC2690ECA204279B9555C9728, StartTime=2016.02.15-21.17.01, HierarchicalDDC, DataSize=4452 bytes, Retrieved=true, Duration=0.041157ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId3637257B48E22114D5959798616F799E_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.02.15-21.17.01, HierarchicalDDC, DataSize=6591 bytes, Retrieved=true, Duration=0.031117ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId50FB39264AB5B6970B93F0861048A044_1, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.02.15-21.17.01, HierarchicalDDC, DataSize=6899 bytes, Retrieved=true, Duration=0.032376ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionIdDFF70A85439F49D0153539946321435F_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__4CE82FE331674843D9D63FF6A48098076A341066, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.011545ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId3637257B48E22114D5959798616F799E_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.016063ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionIdDFF70A85439F49D0153539946321435F_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__E2E37627513408BF1569A25F4D84185B4CD2360C, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.008531ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionIdDFF70A85439F49D0153539946321435F_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__075E02065A5353E35623093DF43D23E005525A14, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.014558ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId3637257B48E22114D5959798616F799E_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.009790ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
DDCTransactionId50FB39264AB5B6970B93F0861048A044_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2016.02.15-21.17.01, HierarchicalDDC, Duration=0.017568ms, RunGuid=RunIDC715F5DA445AF26944A4CA914242850B
